Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808355644,HAVANA SEED COMPANY INC,833315600,9259952,PAUL BERGH WHS,VEBLEN,9255872,89222028,190794831147,00190794831147,C.DK.DKC41-55RIB.SCS.AF2.80M.F7.US,H18XYA3JX,39,39,"2,242.500",8H53,24/03/2023,24/03/2023,15/03/2023,C
808144831,ROELOFSEN SEED SALES INC,833095510,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89448360,190794884624,00190794884624,C.DK.DKC41-55RIB.SCS.AR2.40USP.F7.US,H18XXL4JX,40,1,"2,460.000",8H53,11/01/2023,11/01/2023,22/12/2022,C
808418374,MOORETON CHEMICAL LLC,833359104,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,89448360,190794884624,00190794884624,C.DK.DKC41-55RIB.SCS.AR2.40USP.F7.US,,0,0,0.000,8H3T,11/04/2023,11/04/2023,03/04/2023,C
808418374,MOORETON CHEMICAL LLC,833359104,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,89448360,190794884624,00190794884624,C.DK.DKC41-55RIB.SCS.AR2.40USP.F7.US,H18XXL4JX,320,8,"19,680.000",8H3T,11/04/2023,11/04/2023,07/04/2023,C
808418374,MOORETON CHEMICAL LLC,833359104,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,89448360,190794884624,00190794884624,C.DK.DKC41-55RIB.SCS.AR2.40USP.F7.US,H18XLE3JX,160,4,"10,080.000",8H3T,11/04/2023,11/04/2023,07/04/2023,C
808325406,ROELOFSEN SEED SALES INC,833287382,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89222060,190794831185,00190794831185,C.DK.DKC41-55RIB.SCS.AR2.80M.F7.US,H18X1Y9JX,5,5,317.500,8H53,13/03/2023,10/03/2023,06/03/2023,C
808492085,MOORETON CHEMICAL LLC,833402548,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,89222060,190794831185,00190794831185,C.DK.DKC41-55RIB.SCS.AR2.80M.F7.US,H18X1Y9JX,300,300,"19,050.000",8H3T,01/05/2023,03/05/2023,24/04/2023,C
808515799,ROELOFSEN SEED SALES INC,833415541,9201975,ROELFSEN SEED WHS,TORONTO,9253231,89222060,190794831185,00190794831185,C.DK.DKC41-55RIB.SCS.AR2.80M.F7.US,H18X1Y9JX,30,30,"1,905.000",8H53,02/05/2023,04/05/2023,01/05/2023,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031084,190794147095,00190794147095,C.DK.DKC41-99RIB.SB9.AF2.50USP.F7.US,H64XW93JX,50,1,"2,235.000",8H3T,28/12/2022,28/12/2022,08/12/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,,0,0,0.000,8H3T,28/12/2022,28/12/2022,08/12/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H22R3H4JT,2,2,85.000,8H3T,28/12/2022,28/12/2022,27/12/2022,C
